alcance,set_features,sin_seleccion,n_features,detector,es_cascada,fpr_detector,tipo,n,detectados,recall,semilla,commit,fecha
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.090516,snmpguess,331,6,0.018127,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.090516,sqlattack,2,2,1.0,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.090516,udpstorm,2,2,1.0,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.090516,worm,2,0,0.0,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.090516,xlock,9,3,0.333333,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.090516,xsnoop,4,3,0.75,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.090516,xterm,13,10,0.769231,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,IsolationForest,False,0.090516,__global__,3750,2523,0.6728,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.082999,apache2,737,725,0.983718,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.082999,httptunnel,133,112,0.842105,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.082999,mailbomb,293,0,0.0,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.082999,mscan,996,894,0.89759,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.082999,named,17,7,0.411765,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.082999,processtable,685,248,0.362044,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.082999,ps,15,3,0.2,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.082999,saint,319,311,0.974922,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.082999,sendmail,14,3,0.214286,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.082999,snmpgetattack,178,11,0.061798,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.082999,snmpguess,331,4,0.012085,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.082999,sqlattack,2,2,1.0,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.082999,udpstorm,2,1,0.5,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.082999,worm,2,0,0.0,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.082999,xlock,9,0,0.0,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.082999,xsnoop,4,3,0.75,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.082999,xterm,13,9,0.692308,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,OneClassSVM,False,0.082999,__global__,3750,2333,0.622133,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.162393,apache2,737,191,0.259159,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.162393,httptunnel,133,58,0.43609,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.162393,mailbomb,293,219,0.74744,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.162393,mscan,996,366,0.36747,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.162393,named,17,7,0.411765,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.162393,processtable,685,253,0.369343,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.162393,ps,15,10,0.666667,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.162393,saint,319,256,0.802508,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.162393,sendmail,14,8,0.571429,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.162393,snmpgetattack,178,10,0.05618,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.162393,snmpguess,331,9,0.02719,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.162393,sqlattack,2,2,1.0,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.162393,udpstorm,2,1,0.5,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.162393,worm,2,0,0.0,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.162393,xlock,9,0,0.0,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.162393,xsnoop,4,2,0.5,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.162393,xterm,13,9,0.692308,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,LocalOutlierFactor,False,0.162393,__global__,3750,1401,0.3736,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.092678,apache2,737,711,0.964722,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.092678,httptunnel,133,131,0.984962,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.092678,mailbomb,293,36,0.122867,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.092678,mscan,996,987,0.990964,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.092678,named,17,13,0.764706,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.092678,processtable,685,685,1.0,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.092678,ps,15,10,0.666667,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.092678,saint,319,310,0.971787,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.092678,sendmail,14,10,0.714286,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.092678,snmpgetattack,178,0,0.0,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.092678,snmpguess,331,6,0.018127,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.092678,sqlattack,2,2,1.0,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.092678,udpstorm,2,2,1.0,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.092678,worm,2,0,0.0,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.092678,xlock,9,8,0.888889,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.092678,xsnoop,4,4,1.0,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.092678,xterm,13,10,0.769231,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.092678,__global__,3750,2925,0.78,1,df30cb2,2026-08-12T22:25:12
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100505,apache2,737,733,0.994573,2,df30cb2,2026-08-12T22:31:49
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100505,httptunnel,133,113,0.849624,2,df30cb2,2026-08-12T22:31:49
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100505,mailbomb,293,3,0.010239,2,df30cb2,2026-08-12T22:31:49
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100505,mscan,996,957,0.960843,2,df30cb2,2026-08-12T22:31:49
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100505,named,17,7,0.411765,2,df30cb2,2026-08-12T22:31:49
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100505,processtable,685,330,0.481752,2,df30cb2,2026-08-12T22:31:49
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,54,False,54,IsolationForest,False,0.100505,ps,15,3,0.2,2,df30cb2,2026-08-12T22:31:49
