alcance,set_features,sin_seleccion,n_features,detector,es_cascada,fpr_detector,tipo,n,detectados,recall,semilla,commit,fecha
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.084852,httptunnel,133,132,0.992481,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.084852,mailbomb,293,36,0.122867,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.084852,mscan,996,996,1.0,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.084852,named,17,13,0.764706,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.084852,processtable,685,685,1.0,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.084852,ps,15,10,0.666667,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.084852,saint,319,308,0.965517,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.084852,sendmail,14,5,0.357143,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.084852,snmpgetattack,178,0,0.0,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.084852,snmpguess,331,1,0.003021,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.084852,sqlattack,2,2,1.0,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.084852,udpstorm,2,1,0.5,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.084852,worm,2,0,0.0,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.084852,xlock,9,7,0.777778,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.084852,xsnoop,4,4,1.0,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.084852,xterm,13,10,0.769231,42,38fdd4b,2026-08-07T10:31:11
recall de marcado como ataque sobre los ataques de D2 de tipo ausente del train,122_sin_seleccion,True,122,Autoencoder,True,0.084852,__global__,3750,2945,0.785333,42,38fdd4b,2026-08-07T10:31:11
