tabla_origen,bloque,set_features,algoritmo,metrica,n,media,sd,min,max,valor_semilla_42,dentro_banda_42,distancia_fuera_banda_42,commit_semilla_42,semillas,alcance,nota_bloque,decisiones_no_constantes,commits_origen,commit_agregador,fecha
metricas_anomalias_semillas.csv,calidad,54,LocalOutlierFactor,fpr,10,0.1598,0.0025,0.1559,0.165,0.1604,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,,df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,54,LocalOutlierFactor,pr_auc,10,0.7416,0.0057,0.7335,0.7502,0.7401,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,,df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,54,LocalOutlierFactor,roc_auc,10,0.8105,0.0075,0.8,0.8223,0.8071,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,,df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,54,LocalOutlierFactor,umbral,10,2.2577,0.0588,2.1594,2.3362,2.1863,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,,df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,54,OneClassSVM,f1,10,0.7834,0.0016,0.7801,0.7847,0.7844,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'nu': 0.1, 'gamma': 'scale'} en 7 semilla(s) · {'nu': 0.05, 'gamma': 'scale'} en 3 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,54,OneClassSVM,fpr,10,0.0837,0.001,0.0821,0.085,0.0849,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'nu': 0.1, 'gamma': 'scale'} en 7 semilla(s) · {'nu': 0.05, 'gamma': 'scale'} en 3 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,54,OneClassSVM,pr_auc,10,0.8866,0.0028,0.8807,0.8896,0.889,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'nu': 0.1, 'gamma': 'scale'} en 7 semilla(s) · {'nu': 0.05, 'gamma': 'scale'} en 3 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,54,OneClassSVM,roc_auc,10,0.8301,0.0051,0.82,0.8359,0.836,fuera,9.7e-05,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'nu': 0.1, 'gamma': 'scale'} en 7 semilla(s) · {'nu': 0.05, 'gamma': 'scale'} en 3 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_anomalias_semillas.csv,calidad,54,OneClassSVM,umbral,10,14.218,9.7495,0.128,22.2675,19.1866,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,binario normal-vs-ataque (2 clases) sobre D2 completo,,"config_ganadora: {'nu': 0.1, 'gamma': 'scale'} en 7 semilla(s) · {'nu': 0.05, 'gamma': 'scale'} en 3 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
metricas_baseline_semillas.csv,calidad,122_sin_seleccion,RandomForest_monolitico,bin_accuracy,10,0.7476,0.0009,0.746,0.7489,0.7477,dentro,0.0,1163c90,1 2 3 4 5 6 7 8 9 10,multiclase 5 clases (normal + 4 ataques) sobre D2 completo,,"config_ganadora: {'max_depth': None, 'n_estimators': 300} en 5 semilla(s) · {'max_depth': None, 'n_estimators': 100} en 5 semilla(s)",df30cb2,6bb224c-sucio,2026-08-14T15:15:13
